gene_id,Mean_High,Mean_Low,log2FC,P_value,FDR,Regulation,gene_name,gene_type
ENSG00000000003,3458.840776699029,2919.133980582524,0.2446710821069438,0.0006984021009348,0.0033016001042608,Not Significant,TSPAN6,protein_coding
ENSG00000000005,136.4271844660194,37.87766990291262,1.821653751776996,1.010112707593583e-06,9.13754657458779e-06,Up,TNMD,protein_coding
ENSG00000000419,2489.926213592233,2492.73786407767,-0.0016275338032986,0.9762989366616064,0.9859272128083156,Not Significant,DPM1,protein_coding
ENSG00000000457,1721.221359223301,1611.5766990291263,0.0949028049044205,0.0486043005664385,0.1210490612958933,Not Significant,SCYL3,protein_coding
ENSG00000000460,721.209708737864,784.9203883495146,-0.12196536399304,0.0893629310775533,0.1952660658099959,Not Significant,C1orf112,protein_coding
ENSG00000000938,738.2194174757282,444.0252427184466,0.732115482364451,2.1833216858520614e-16,7.792351847830118e-15,Not Significant,FGR,protein_coding
ENSG00000000971,4750.398058252427,2003.9339805825243,1.244797344873448,1.978076747824347e-45,1.8877973250536442e-42,Up,CFH,protein_coding
ENSG00000001036,2766.168932038835,2709.7300970873785,0.0297292477117199,0.5802707728178671,0.7098925967779254,Not Significant,FUCA2,protein_coding
ENSG00000001084,2375.0796116504853,2282.621359223301,0.0572597137561385,0.3184320883710453,0.4797014579448429,Not Significant,GCLC,protein_coding
ENSG00000001167,3510.456310679612,3201.464077669903,0.1328870975445131,0.0758705703747515,0.171883961313317,Not Significant,NFYA,protein_coding
ENSG00000001460,706.5825242718447,698.8038834951457,0.0159477463829534,0.6956688380879943,0.7968488349668238,Not Significant,STPG1,protein_coding
ENSG00000001461,3160.768932038835,2918.390291262136,0.1150648400760012,0.0671712540867124,0.1563016483400665,Not Significant,NIPAL3,protein_coding
ENSG00000001497,3440.456310679612,3751.198058252427,-0.1247167868940009,0.0025931066811003,0.0103659097435492,Not Significant,LAS1L,protein_coding
ENSG00000001561,2059.081553398058,1884.8543689320388,0.1274831798953482,0.2487553484860369,0.4116542466656772,Not Significant,ENPP4,protein_coding
ENSG00000001617,5753.001941747573,7347.879611650485,-0.3529586097848269,2.720059107970598e-09,3.7907646178195394e-08,Not Significant,SEMA3F,protein_coding
ENSG00000001626,74.89902912621359,57.08932038834951,0.3858084800545994,0.3586409697978037,0.5152686300499714,Not Significant,CFTR,protein_coding
ENSG00000001629,5180.58640776699,4706.168932038835,0.138534234999151,0.0050452926780444,0.0182941699096448,Not Significant,ANKIB1,protein_coding
ENSG00000001630,122.43495145631069,128.29514563106795,-0.0669171490052159,0.4211440116998839,0.573278969997955,Not Significant,CYP51A1,protein_coding
ENSG00000001631,389.2466019417476,395.3378640776699,-0.0223447314989896,0.5324344720237997,0.6704324502858263,Not Significant,KRIT1,protein_coding
ENSG00000002016,582.8912621359224,567.8,0.0377782565729699,0.4357450088769857,0.5861772759808301,Not Significant,RAD52,protein_coding
ENSG00000002330,494.2873786407767,564.3300970873786,-0.1908276479620579,0.0007111257835746,0.0033544385271466,Not Significant,BAD,protein_coding
ENSG00000002549,8571.928155339805,7553.718446601942,0.1824100638323821,0.0008507173066474,0.0039312927017823,Not Significant,LAP3,protein_coding
ENSG00000002586,13275.168932038834,8624.900970873787,0.622091833648124,9.963666490084402e-37,2.9530822209555753e-34,Not Significant,CD99,protein_coding
ENSG00000002587,356.95533980582525,268.2388349514563,0.4108930823100415,2.0365401850963032e-09,2.9000186377924616e-08,Not Significant,HS3ST1,protein_coding
ENSG00000002726,349.30873786407767,144.82718446601942,1.2643672885615935,0.0226767307833002,0.0648578422151474,Not Significant,AOC1,protein_coding
ENSG00000002745,8.933980582524272,8.697087378640777,0.0348204429534246,0.9461274158335062,0.9683276430324136,Not Significant,WNT16,protein_coding
ENSG00000002746,50.22135922330097,28.471844660194176,0.7974081747497678,7.87016468771296e-13,1.806390180703641e-11,Not Significant,HECW1,protein_coding
ENSG00000002822,27.464077669902917,18.267961165048543,0.56293843114326,0.0001312367341258,0.0007481904992851,Not Significant,MAD1L1,protein_coding
ENSG00000002834,21898.22718446602,21652.5145631068,0.0162787520224036,0.871838239540638,0.9200997771987368,Not Significant,LASP1,protein_coding
