Gene,Hazard_Ratio,Lower_95CI,Upper_95CI,Coefficient,P_value,FDR
ENSG00000121871,1.0137281950162889,1.0128353427320445,1.0146218343832583,0.013634816984384512,4.857404241293574e-202,2.316107490333602e-197
ENSG00000231436,2.807472023569709,2.6109457047100304,3.01879091124262,1.0322844426902358,4.78312376587269e-171,1.1403445370217081e-166
ENSG00000171951,1.0010505094032753,1.0009629095617327,1.0011381169111682,0.001049958004404926,2.833282371260677e-122,4.503219000881721e-118
ENSG00000231421,1.0383575469624478,1.035036781887939,1.0416889662290327,0.037640183006418845,2.2795237624216934e-117,2.7173063009947796e-113
ENSG00000231358,1.1428955801059488,1.129108775779026,1.1568507260290282,0.1335650246516649,3.4335623460218537e-103,3.2743823956602806e-99
ENSG00000237242,41.15377446747682,29.273099981751972,57.85629653079826,3.7173156475211746,1.7222024027218387e-101,1.3686342494430454e-97
ENSG00000170279,1.0933138763062986,1.0836129961280654,1.1031016021356719,0.08921333750827867,1.0634672354333124e-85,7.244034959990172e-82
ENSG00000254138,1.5457239673445962,1.4777336234100713,1.6168425387181555,0.4354923878750304,2.744431176886544e-80,1.6357495922038024e-76
ENSG00000285169,230.7009031203473,125.92049825234979,422.67071238777197,5.441122079867959,1.944402421549148e-69,1.0301444029367387e-65
ENSG00000186075,1.0335747535056299,1.0297272700095559,1.037436612778362,0.03302342795998923,1.8065392090297416e-67,8.613940256495614e-64
ENSG00000171885,1.0016417098071089,1.0014470214695006,1.0018364359934977,0.0016403636746680406,1.9106679175172235e-61,8.282224331186932e-58
ENSG00000189375,1.2426668421353992,1.2086040515478333,1.2776896441519576,0.2172597493586043,5.555833771165043e-53,2.20761054897243e-49
ENSG00000280338,17.256653731767393,11.704553343355668,25.442414527263388,2.848197792685871,6.970508480571677e-47,2.5566752720816824e-43
ENSG00000213958,1.4309735514693356,1.3581468178305938,1.5077054101379028,0.3583550178523812,3.2278937734419134e-41,1.0993745064661237e-37
ENSG00000205420,1.0006184642042908,1.000525285380209,1.0007116517061074,0.000618273034121919,1.039390913426602e-38,3.304015835600482e-35
ENSG00000235615,1.0729290077932612,1.0610890782103324,1.0849010506317192,0.0703922991049004,1.7228537828784358e-35,5.134319629700599e-32
ENSG00000229642,1.0409527953324076,1.0343549603424704,1.0475927159005296,0.04013644310268343,3.7091885327203595e-35,1.0403619271598363e-31
ENSG00000109158,1.0199498576146047,1.0165770569822932,1.0233338485290766,0.019753466886458536,1.4586142688302658e-31,3.863869198131374e-28
ENSG00000182118,0.983246543085494,0.9802450993220251,0.9862571770654418,-0.016895383480625387,2.4438568886496314e-27,6.133051798136406e-24
ENSG00000285598,2.53343252782501,2.1370716078355168,3.0033061828669485,0.929575113578009,9.282913222694217e-27,2.2131393414225284e-23
ENSG00000236501,1.0191048816365327,1.0154637453841966,1.0227590738677437,0.018924674985805676,3.6568772975918438e-25,8.303201109703537e-22
ENSG00000238077,1.6563477764572738,1.497463705020416,1.8320897844649606,0.5046150438520351,1.0435017685367948e-22,2.261647787607793e-19
ENSG00000142611,0.9496138631421943,0.9398020566891323,0.9595281077046297,-0.051699836865067766,1.7348735925878466e-22,3.596619245294509e-19
ENSG00000272783,0.7438604169844933,0.6968821251291748,0.7940056144412927,-0.2959018733302812,6.111768804245256e-19,1.2142556671834265e-15
ENSG00000272973,0.2990992735988573,0.22725381809179795,0.3936584045915878,-1.2069797419721953,7.213626164045939e-18,1.375840491016154e-14
ENSG00000233539,1.0030793715391473,1.0023390313764808,1.0038202585263303,0.0030746399855949027,3.3006409341702293e-16,6.053121577811726e-13
ENSG00000124449,1.1020361579007012,1.0758411973068427,1.1288689226260908,0.09715952135460906,2.455468077358319e-15,4.336356624614791e-12
ENSG00000103154,0.9567711504981454,0.9445655277829488,0.969134493584755,-0.04419104831168891,1.5198992948262586e-11,2.588279934853774e-08
ENSG00000242968,0.3612349139536894,0.2678815791560602,0.48712070262624974,-1.0182268011093254,2.4738311197430368e-11,4.0674901879857754e-08
ENSG00000286803,0.14440563936306836,0.08068496501242757,0.2584494977056092,-1.9351289995251282,7.221625450752034e-11,1.1478051491425283e-07
ENSG00000248574,1.1207566790748762,1.0822678879592937,1.1606142505617698,0.11400406350464931,1.6149759198650899e-10,2.484041348742168e-07
ENSG00000165588,1.071422003928168,1.0485299476867873,1.094813851558545,0.06898674180112178,3.8377906393950096e-10,5.718547914613527e-07
ENSG00000265933,1.0025116180129783,1.0017111633970017,1.0033127122620304,0.00250846917181214,7.502337363432651e-10,1.0840195459490777e-06
