gene_id,Mean_High,Mean_Low,log2FC,P_value,FDR,Regulation
ENSG00000000003,3458.840776699029,2919.133980582524,0.24467108210694388,0.0006984021009348478,0.0033016001042608547,Not Significant
ENSG00000000005,136.4271844660194,37.87766990291262,1.821653751776996,1.010112707593583e-06,9.13754657458779e-06,Up
ENSG00000000419,2489.926213592233,2492.73786407767,-0.00162753380329862,0.9762989366616063,0.9859272128083155,Not Significant
ENSG00000000457,1721.221359223301,1611.5766990291263,0.0949028049044205,0.04860430056643858,0.12104906129589332,Not Significant
ENSG00000000460,721.209708737864,784.9203883495146,-0.12196536399304006,0.08936293107755337,0.19526606580999598,Not Significant
ENSG00000000938,738.2194174757282,444.0252427184466,0.732115482364451,2.1833216858520616e-16,7.792351847830118e-15,Not Significant
ENSG00000000971,4750.398058252427,2003.9339805825243,1.244797344873448,1.978076747824347e-45,1.8877973250536436e-42,Up
ENSG00000001036,2766.168932038835,2709.7300970873785,0.029729247711719968,0.5802707728178671,0.7098925967779254,Not Significant
ENSG00000001084,2375.0796116504853,2282.621359223301,0.057259713756138524,0.31843208837104536,0.4797014579448429,Not Significant
ENSG00000001167,3510.4563106796118,3201.464077669903,0.13288709754451317,0.07587057037475159,0.171883961313317,Not Significant
ENSG00000001460,706.5825242718447,698.8038834951457,0.01594774638295344,0.6956688380879943,0.7968488349668238,Not Significant
ENSG00000001461,3160.768932038835,2918.390291262136,0.11506484007600123,0.06717125408671244,0.15630164834006655,Not Significant
ENSG00000001497,3440.4563106796118,3751.198058252427,-0.12471678689400091,0.0025931066811003736,0.010365909743549269,Not Significant
ENSG00000001561,2059.081553398058,1884.8543689320388,0.1274831798953482,0.24875534848603698,0.4116542466656772,Not Significant
ENSG00000001617,5753.001941747573,7347.8796116504855,-0.3529586097848269,2.7200591079705986e-09,3.7907646178195394e-08,Not Significant
ENSG00000001626,74.89902912621359,57.08932038834951,0.3858084800545994,0.3586409697978037,0.5152686300499714,Not Significant
ENSG00000001629,5180.58640776699,4706.168932038835,0.13853423499915105,0.005045292678044478,0.018294169909644865,Not Significant
ENSG00000001630,122.43495145631069,128.29514563106795,-0.06691714900521596,0.42114401169988397,0.573278969997955,Not Significant
ENSG00000001631,389.2466019417476,395.3378640776699,-0.022344731498989617,0.5324344720237997,0.6704324502858263,Not Significant
ENSG00000002016,582.8912621359224,567.8,0.037778256572969994,0.4357450088769857,0.5861772759808301,Not Significant
ENSG00000002079,17.067961165048544,12.733980582524271,0.3956838889812694,0.13063541023612146,0.2598549545894887,Not Significant
ENSG00000002330,494.2873786407767,564.3300970873786,-0.19082764796205798,0.0007111257835746549,0.003354438527146637,Not Significant
ENSG00000002549,8571.928155339805,7553.718446601942,0.18241006383238215,0.0008507173066474871,0.003931292701782374,Not Significant
ENSG00000002586,13275.168932038834,8624.900970873787,0.622091833648124,9.963666490084402e-37,2.953082220955575e-34,Not Significant
ENSG00000002587,356.95533980582525,268.2388349514563,0.41089308231004157,2.036540185096303e-09,2.9000186377924616e-08,Not Significant
ENSG00000002726,349.30873786407767,144.82718446601942,1.2643672885615937,0.022676730783300226,0.06485784221514745,Not Significant
ENSG00000002745,8.933980582524272,8.697087378640777,0.034820442953424645,0.9461274158335062,0.9683276430324136,Not Significant
