Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,E2F Targets,-5.428696e-01,-2.324074e+00,0.000000e+00,0.000000e+00,0.000000e+00,98/200,21.13%,ASF1B;WDR90;TOP2A;KIF18B;ESPL1;CKS2;SPAG5;UBE2S;CENPM;MXD3;SPC24;UBE2T;CDCA3;PSMC3IP;KIF22;MYBL2;CDKN3;H2AX;TIMELESS;TK1;MAD2L1;CDK1;CIT;TUBG1;NME1;BRCA1;AURKB;POLA2;HELLS;LMNB1;HMGB2;GINS1;BIRC5;MCM2;SPC25;HMMR;PTTG1;KIF4A;PLK1;NAA38;LIG1;RRM2;E2F8;CDC25A;CENPE;RBBP7;PLK4;TACC3;ATAD2;BUB1B;POP7;DEPDC1;H2AZ1;ORC6;JPT1;PCNA;DCTPP1;GINS4;RAD51AP1;RAD51C;MELK;SNRPB;AURKA;POLD2;DLGAP5;KIF2C;PAICS;DDX39A;CDCA8;POLE;CCNB2;RACGAP1;TRIP13;DSCC1;MCM7;RPA3;TCF19;MCM4;MKI67;STMN1;HMGB3;UNG;NUP107;CDC20;KPNA2;POLD1;RFC2;EZH2;CHEK1;RNASEH2A;TMPO;CKS1B;CCP110;SUV39H1;NCAPD2;CDC25B;SMC4;TBRG4
prerank,Myogenesis,7.148479e-01,1.983380e+00,0.000000e+00,0.000000e+00,0.000000e+00,96/199,14.51%,MYH2;CKM;MYL2;PYGM;MYH7;ACTA1;ACTN3;MYL1;MYLPF;CSRP3;SLN;TNNC2;TNNC1;FHL1;ATP2A1;ACTN2;NOS1;LDB3;TNNI2;MYL3;DES;CAV3;COX6A2;MYOZ1;TNNI1;MYOM1;CD36;MYOM2;TCAP;GPX3;CRYAB;TNNT3;CKMT2;SGCA;MYH11;ITGA7;SORBS1;CASQ1;DMD;IGF1;ENO3;CASQ2;RYR1;LAMA2;MYLK;PTGIS;ANKRD2;SOD3;GSN;FGF2;ACSL1;FST;COL3A1;SGCD;SCHIP1;ADAM12;TAGLN;SSPN;CFD;MRAS;FABP3;MYH8;COL6A3;MYH4;TPM2;FXYD1;SPARC;KLF5;COX7A1;COL1A1;COL15A1;CDH13;HBEGF;AEBP1;PRNP;COL6A2;MYH1;MEF2C;GJA5;MB;LSP1;KIFC3;TNNT2;DENND2B;HRC;WWTR1;BIN1;NCAM1;ABLIM1;APLNR;APOD;SPHK1;LPIN1;ITGB1;IGFBP7;SVIL
prerank,Epithelial Mesenchymal Transition,6.660931e-01,1.845363e+00,0.000000e+00,0.000000e+00,0.000000e+00,143/200,23.27%,PCOLCE2;OXTR;IL6;ECM2;DCN;SLIT3;MFAP5;SFRP1;LAMA2;SFRP4;CXCL12;FBLN2;ABI3BP;MYLK;FSTL1;CCN1;FBN1;ELN;LRP1;NT5E;MMP2;GAS1;CCN2;FGF2;DST;SLIT2;LUM;MATN2;LRRC15;LOX;FERMT2;COL11A1;COL3A1;PRRX1;SGCD;THBS2;SNAI2;MMP3;GEM;ADAM12;ACTA2;CXCL6;TAGLN;MXRA5;GREM1;FAP;HTRA1;VCAN;FBLN1;MMP1;COL1A2;DPYSL3;DAB2;FBLN5;SPOCK1;VIM;COL6A3;COL5A2;CALD1;COMP;SERPINE1;POSTN;COL8A2;TPM2;SPARC;NNMT;COL1A1;CRLF1;MYL9;CDH11;TGFBR3;NID2;COL12A1;COL6A2;PDLIM4;PDGFRB;COL16A1;PCOLCE;COL5A1;LAMA1;INHBA;GLIPR1;LAMC2;CXCL1;FMOD;TGFBI;EFEMP2;WIPF1;FN1;COL7A1;MMP14;LAMC1;TIMP3;CDH2;VEGFC;THY1;SERPINE2;BGN;LOXL2;JUN;NTM;ITGA5;CTHRC1;ITGB3;FLNA;FAS;PTX3;COL5A3;SPP1;TNFAIP3;LOXL1;BMP1;ITGB1;EMP3;IGFBP3;RGS4;TNC;TNFRSF11B;PMP22;COL4A2;PLAUR;SDC1;ITGAV;NOTCH2;LGALS1;CDH6;COL4A1;PMEPA1;P3H1;SERPINH1;THBS1;GPX7;WNT5A;FOXC2;GADD45B;MSX1;CALU;CD59;TPM1;ITGB5;TGFB1;CXCL8;MEST
prerank,Coagulation,6.645212e-01,1.806759e+00,0.000000e+00,0.000000e+00,0.000000e+00,67/138,15.27%,C9;APOC3;C8A;KLK8;F2;PLG;F9;DCT;ITIH1;C8B;LEFTY2;DPP4;APOA1;F10;CPN1;ANXA1;PROS1;MMP8;MBL2;FBN1;GDA;CFH;CTSE;LRP1;MMP2;SERPINC1;GSN;CPB2;CTSK;VWF;HRG;SERPING1;FGA;SERPINB2;CFI;MMP3;C1S;PECAM1;HTRA1;C1R;CFD;MMP1;C3;F3;COMP;SERPINE1;SPARC;A2M;PLAU;F2RL2;RGN;FN1;MMP14;TIMP3;P2RY1;MAFF;F8;THBD;FYN;KLF7;ITGB3;BMP1;DUSP6;MMP11;CAPN5;CSRP1;PLEK
prerank,Pancreas Beta Cells,-5.251892e-01,-1.713879e+00,1.980198e-02,1.334322e-02,5.571031e-03,12/40,5.66%,CHGA;GCG;PCSK1;INS;INSM1;PCSK2;NEUROD1;SYT13;SCGN;ABCC8;HNF1A;NKX6-1
prerank,TNF-alpha Signaling via NF-kB,6.141915e-01,1.696375e+00,0.000000e+00,2.106843e-04,1.000000e-03,126/200,27.92%,G0S2;FOSB;CXCL2;IL6;EGR1;PTGS2;EGR2;NR4A3;EDN1;FOS;KLF4;CCN1;ATF3;ZFP36;EGR3;BMP2;NR4A1;DUSP1;CXCL3;SOCS3;SERPINB2;GEM;CXCL6;IL1A;PTGER4;RCAN1;PLPP3;SGK1;LIF;F3;SLC2A3;IL7R;SERPINE1;CCL2;PER1;GFPT2;KLF9;HBEGF;ETS2;GPR183;FOSL1;PLAU;CD69;KLF2;KLF6;INHBA;MSC;DNAJB4;CXCL1;TNFSF9;ABCA1;CSF2;TNFAIP6;MAFF;JUN;PPP1R15A;LAMB3;PTX3;SPSB1;TNFAIP3;NFAT5;SPHK1;TLR2;NFIL3;KLF10;JUNB;IL15RA;PLEK;F2RL1;STAT5A;SERPINB8;ACKR3;PFKFB3;TNFAIP8;TNC;DUSP2;SOD2;IL1B;PLAUR;IL12B;CFLAR;FUT4;CCRL2;PMEPA1;ICAM1;TIPARP;JAG1;PNRC1;PTPRE;CD83;NAMPT;OLR1;CCL4;TNFRSF9;BIRC3;SIK1;TANK;KYNU;CD80;BTG3;TSC22D1;GADD45B;TRAF1;CDKN1A;MCL1;MARCKS;TRIP10;IFIT2;FOSL2;CSF1;PDE4B;MAP3K8;DENND5A;DRAM1;GADD45A;B4GALT5;CCNL1;SAT1;CCL5;IER2;NFE2L2;BTG2;BCL6;BTG1;ICOSLG;PHLDA1
prerank,KRAS Signaling Up,6.048676e-01,1.672749e+00,0.000000e+00,5.056422e-04,3.000000e-03,118/200,23.49%,CIDEA;RBP4;CFHR2;G0S2;ALDH1A2;IL33;TMEM100;PTGS2;ARG1;WNT7A;AKAP12;NR1H4;F13A1;HSD11B1;TSPAN7;KLF4;SPON1;CFH;EMP1;SPRY2;BMP2;GNG11;SPARCL1;GPNMB;ANGPTL4;ABCB1;RELN;ALDH1A3;IGF2;PRRX1;ITGBL1;ADGRA2;ADGRL4;PECAM1;MMD;GYPC;CCND2;PRKG2;LIF;IL7R;MALL;NRP1;GFPT2;HBEGF;TFPI;ETV1;PLAU;ETS1;PPBP;INHBA;NGF;PDCD1LG2;LY96;TNNT2;GUCY1A1;CSF2;IRF8;PRDM1;IKZF1;CMKLR1;HKDC1;TNFRSF1B;MPZL2;PPP1R15A;DOCK2;MAFB;IL10RA;CSF2RA;APOD;RGS16;SPP1;TLR8;TNFAIP3;PIGR;ANKH;C3AR1;DUSP6;FLT4;MMP11;CD37;IGFBP3;ETV5;SLPI;NAP1L2;ENG;F2RL1;IL1RL2;GPRC5B;CLEC4A;ITGB2;RETN;H2BC3;IL1B;PLAUR;PLVAP;DCBLD2;LAPTM5;SATB1;CTSS;MMP10;LCP1;BIRC3;MAP4K1;EPHB2;VWA5A;HDAC9;IL2RG;TRAF1;MMP9;CCSER2;CBL;FCER1G;EREG;TMEM176B;TMEM158;CAB39L;KCNN4;CXCR4
prerank,Inflammatory Response,5.976327e-01,1.652771e+00,0.000000e+00,8.427370e-04,6.000000e-03,135/199,27.88%,ROS1;CSF3;CCL24;IL6;TACR1;EDN1;NMUR1;CX3CL1;HAS2;CXCL6;PDPN;IL1A;PTGER4;CCL17;LIF;F3;HRH1;IL7R;SERPINE1;CCL2;ADM;AQP9;SGMS2;CCR7;MET;HBEGF;NLRP3;GPR183;AXL;IL18R1;CD69;KCNA3;KCNJ2;KLF6;CD70;INHBA;PCDH7;TNFSF9;TLR1;ABCA1;MMP14;SELE;TNFAIP6;CMKLR1;CALCRL;TNFRSF1B;C5AR1;STAB1;CD14;ITGA5;FPR1;PTGIR;LPAR1;ITGB3;APLNR;IL10RA;CD55;ACVR2A;RGS16;SLAMF1;IL1R1;IL10;MARCO;SPHK1;CCL22;TLR2;C3AR1;SCARF1;ADGRE1;IL18RAP;MSR1;EMP3;OPRK1;CYBB;ADORA2B;PIK3R5;IL15RA;LYN;OSMR;IRAK2;PTAFR;TNFSF15;VIP;TLR3;ITGB8;NPFFR2;LCK;CD48;IL1B;PLAUR;IL12B;IL4R;DCBLD2;LCP2;RGS1;CD82;CCRL2;CD40;ICAM1;SLC31A2;PTPRE;NAMPT;RNF144B;OLR1;TNFRSF9;LAMP3;AHR;CCL7;CLEC5A;LTA;P2RX7;CDKN1A;EREG;CXCR6;CXCL8;CHST2;BEST1;GPC3;CSF1;PDE4B;HIF1A;MEFV;SLC4A4;IL15;PROK2;FZD5;EBI3;CCL5;OSM;GPR132;GP1BA;NMI;BTG2;ICOSLG;IFNAR1
prerank,Angiogenesis,6.827087e-01,1.650172e+00,1.114827e-03,7.223460e-04,6.000000e-03,25/36,22.04%,APOH;LPL;FSTL1;LUM;COL3A1;CXCL6;VCAN;CCND2;S100A4;COL5A2;NRP1;POSTN;THBD;SPP1;TNFRSF21;PDGFA;SLCO2A1;ITGAV;PF4;KCNJ8;JAG1;APP;OLR1;MSX1;PRG2
prerank,UV Response Dn,5.847662e-01,1.609245e+00,0.000000e+00,1.474790e-03,1.300000e-02,58/144,18.33%,CAV1;PTGFR;KIT;TGFBR2;PPARG;CCN1;HAS2;CELF2;DUSP1;COL11A1;COL3A1;SNAI2;SCHIP1;DLC1;COL1A2;PLPP3;DAB2;FBLN5;F3;COL5A2;PRKCA;NRP1;SERPINE1;AKT3;COL1A1;MET;TFPI;TGFBR3;ADD3;SYNE1;PDGFRB;PTPN21;PTPRM;RND3;NFIB;ID1;NR3C1;EFEMP1;LAMC1;MGLL;FYN;ADGRL2;LPAR1;ITGB3;VLDLR;ACVR2A;MAP1B;ADORA2B;PIK3CD;GRK5;ATP2B4;RGS4;MMP16;PRKAR2B;LTBP1;PMP22;NOTCH2;KALRN
