diagnoses.ajcc_pathologic_stage,Count,Percentage
Stage IIA,332,32.23300970873787
Stage IIB,231,22.42718446601942
Stage IIIA,138,13.398058252427184
Stage IA,81,7.864077669902912
Stage I,80,7.766990291262135
Stage IIIC,56,5.436893203883495
'--,52,5.048543689320388
Stage IIIB,22,2.1359223300970873
Stage IV,18,1.7475728155339807
Stage II,7,0.6796116504854369
Stage X,7,0.6796116504854369
Stage IB,6,0.5825242718446602
