diagnoses.ajcc_pathologic_n,Count,Percentage
N0,310,30.097087378640776
N1a,156,15.145631067961165
N0 (i-),138,13.398058252427184
N1,107,10.388349514563107
N2a,58,5.631067961165048
N2,52,5.048543689320388
Unknown,43,4.174757281553398
N3a,40,3.8834951456310676
N1mi,31,3.0097087378640777
N0 (i+),28,2.7184466019417477
N1b,25,2.4271844660194173
N3,22,2.1359223300970873
NX,15,1.4563106796116505
N1c,2,0.1941747572815534
N3b,2,0.1941747572815534
N0 (mol+),1,0.0970873786407767
