diagnoses.ajcc_pathologic_m,Count,Percentage
M0,823,79.90291262135922
MX,140,13.592233009708737
Unknown,43,4.174757281553398
M1,19,1.8446601941747571
cM0 (i+),5,0.48543689320388345
