diagnoses.ajcc_pathologic_t,Count,Percentage
T2,578,56.116504854368934
T1c,200,19.41747572815534
T3,117,11.359223300970873
Unknown,43,4.174757281553398
T1,37,3.5922330097087376
T4b,23,2.233009708737864
T1b,15,1.4563106796116505
T4,7,0.6796116504854369
T4d,3,0.2912621359223301
TX,2,0.1941747572815534
T1a,2,0.1941747572815534
T3a,1,0.0970873786407767
T2a,1,0.0970873786407767
T2b,1,0.0970873786407767
