Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Monocarboxylic Acid Transmembrane Transporter Activity (GO:0008028),1/32,0.7760598530757713,0.909643926146191,0,0,0.6740237691001698,0.1708823017212991,SLC16A7
GO_Molecular_Function_2023,Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291),1/32,0.7760598530757713,0.909643926146191,0,0,0.6740237691001698,0.1708823017212991,SPRY2
GO_Molecular_Function_2023,Telomeric DNA Binding (GO:0042162),1/33,0.7862990343164422,0.9178837706714388,0,0,0.6529262609649122,0.1569752964041608,STON1
GO_Molecular_Function_2023,Frizzled Binding (GO:0005109),1/33,0.7862990343164422,0.9178837706714388,0,0,0.6529262609649122,0.1569752964041608,SFRP1
GO_Molecular_Function_2023,Hsp70 Protein Binding (GO:0030544),1/34,0.7960705362260159,0.9236355917267364,0,0,0.6331073896863371,0.1443912092867668,SNCA
GO_Molecular_Function_2023,Nuclear Estrogen Receptor Binding (GO:0030331),1/34,0.7960705362260159,0.9236355917267364,0,0,0.6331073896863371,0.1443912092867668,ZNF366
GO_Molecular_Function_2023,Solute:Sodium Symporter Activity (GO:0015370),1/34,0.7960705362260159,0.9236355917267364,0,0,0.6331073896863371,0.1443912092867668,SLC17A7
GO_Molecular_Function_2023,mRNA 3'-UTR Binding (GO:0003730),3/93,0.8031007448993224,0.9269342840698952,0,0,0.6958608058608059,0.1525849563211933,ZFP36;CELF2;RBMS3
GO_Molecular_Function_2023,NADP Binding (GO:0050661),1/35,0.8053956978719196,0.9269342840698952,0,0,0.614454334365325,0.1329811730781999,HSD11B1
GO_Molecular_Function_2023,Core Promoter Sequence-Specific DNA Binding (GO:0001046),1/35,0.8053956978719196,0.9269342840698952,0,0,0.614454334365325,0.1329811730781999,FOS
GO_Molecular_Function_2023,Ion Channel Inhibitor Activity (GO:0008200),1/35,0.8053956978719196,0.9269342840698952,0,0,0.614454334365325,0.1329811730781999,SCN3B
GO_Molecular_Function_2023,Amino Acid Binding (GO:0016597),1/36,0.814294885769992,0.9334201897002714,0,0,0.5968671679197995,0.1226160404436534,GRIN2B
GO_Molecular_Function_2023,Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),1/36,0.814294885769992,0.9334201897002714,0,0,0.5968671679197995,0.1226160404436534,BMX
GO_Molecular_Function_2023,Calcium Channel Regulator Activity (GO:0005246),1/37,0.8227875379002507,0.9412689433578868,0,0,0.5802570662768031,0.1131833576694466,GEM
GO_Molecular_Function_2023,Sulfotransferase Activity (GO:0008146),1/38,0.8308922063701717,0.9467536694098372,0,0,0.5645448079658606,0.1045848658813996,CHST3
GO_Molecular_Function_2023,Alpha-Tubulin Binding (GO:0043014),1/38,0.8308922063701717,0.9467536694098372,0,0,0.5645448079658606,0.1045848658813996,SNCA
